# 加成描述到Effect名称|modified_attribute_name的映射字典
# 格式: 加成描述: effect_name|modified_attr_name

## 能量炮台

xx% 中型能量炮台CPU需求降低: mediumRemoteRepFittingAdjustment|power/cpu
xx% 中型能量炮台CPU需求降低: mediumWeaponUpgradesSkillBoostCpuNeedBonusAndPowerNeedBonusToRoguelikeModule|cpu/power/cpu/power/cpu/power
xx% 中型能量炮台伤害加成:  mediumVortonProjectorSkillDmgBonus|damageMultiplier
xx% 中型能量炮台伤害加成: eliteBonusCommandShipMediumHybridDamageCS2|damageMultiplier
xx% 中型能量炮台伤害加成: mediumDisintegratorSkillDmgBonus|damageMultiplier
xx% 中型能量炮台伤害加成: mediumEnergyTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringMediumEnergyTurret|damageMultiplier
xx% 中型能量炮台伤害加成: mediumHybridTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringMediumHybridTurret|damageMultiplier
xx% 中型能量炮台伤害加成: mediumPrecursorTurretDmgBonusRequiredSkill|damageMultiplier
xx% 中型能量炮台伤害加成: mediumPrecursorWeaponImplantDamageBoost|damageMultiplier
xx% 中型能量炮台伤害加成: mediumProjectileTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringMediumProjectileTurret|damageMultiplier
xx% 中型能量炮台伤害加成: mediumUpwellWeaponDmgBonusRequiredSkill|damageMultiplier
xx% 中型能量炮台伤害加成: selfT2MediumHybridBlasterDamageBonus|damageMultiplier
xx% 中型能量炮台伤害加成: selfT2MediumHybridRailDamageBonus|damageMultiplier
xx% 中型能量炮台伤害加成: selfT2MediumLaserBeamDamageBonus|damageMultiplier
xx% 中型能量炮台伤害加成: selfT2MediumLaserPulseDamageBonus|damageMultiplier
xx% 中型能量炮台伤害加成: selfT2MediumProjectileACDamageBonus|damageMultiplier
xx% 中型能量炮台伤害加成: selfT2MediumProjectileArtyDamageBonus|damageMultiplier
xx% 中型能量炮台伤害加成: shipBonusMediumEnergyTurretDamagePirateFaction|damageMultiplier
xx% 中型能量炮台伤害加成: shipBonusMediumEnergyWeaponDamageABC3|damageMultiplier
xx% 中型能量炮台伤害加成: shipBonusMediumHybridDmgCC2|damageMultiplier
xx% 中型能量炮台伤害加成: shipBonusMediumHybridTurretDamageMC|damageMultiplier
xx% 中型能量炮台射速加成: eliteBonusCommandShipMediumHybridRoFCS1|speed
xx% 中型能量炮台最佳射程加成: shipBonusMediumEnergyWeaponRangeABC1|maxRange
xx% 中型能量炮台最佳射程加成: shipMediumPrecursorWeaponOptimalEliteHeavyGunship2|maxRange
xx% 中型能量炮台跟踪速度加成: eliteBonusCommandShipMediumHybridTrackingCS1|trackingSpeed
